nb_processes,n,e_total,e_pot,e_kin
2,923,-3129.541309198623821,-3144.001964859731743,14.460655661107728
2,923,-3129.541307427708489,-3144.441659923765656,14.900352496057273
2,923,-3129.541300941712052,-3144.846080691696443,15.304779749984412
2,923,-3129.541290869157365,-3145.228443157791389,15.687152288633806
2,923,-3129.541279141997620,-3145.607843892374603,16.066564750376791
2,923,-3129.541268408939686,-3146.006162427891923,16.464894018952165
2,923,-3129.541262079824719,-3146.443719884383427,16.902457804558640
2,923,-3129.541263675939717,-3146.933978096069950,17.392714420130140
2,923,-3129.541275545509507,-3147.478249983722890,17.936974438213458
2,923,-3129.541298479633497,-3148.061932678279391,18.520634198645954
2,923,-3129.541330374735026,-3148.653754705363099,19.112424330628084
2,923,-3129.541367165497377,-3149.208859001545079,19.667491836047802
2,923,-3129.541403142420677,-3149.675453790722713,20.134050648301979
2,923,-3129.541432447504576,-3150.003672500372886,20.462240052868239
2,923,-3129.541450863394402,-3150.154512864199205,20.613062000804653
2,923,-3129.541456453574028,-3150.106538451630968,20.565081998057110
2,923,-3129.541450112386883,-3149.858632540900089,20.317182428513256
2,923,-3129.541434696913257,-3149.428501718278312,19.887067021365223
2,923,-3129.541413309139443,-3148.848348573839758,19.306935264700229
2,923,-3129.541387805872546,-3148.160104400046293,18.618716594173545
2,923,-3129.541359699999703,-3147.411887636699703,17.870527936699929
2,923,-3129.541331397577324,-3146.655211301964755,17.113879904387510
2,923,-3129.541307598571166,-3145.940755415998865,16.399447817427475
2,923,-3129.541294143072264,-3145.311200719174849,15.769906576102567
2,923,-3129.541295180009001,-3144.792600618607139,15.251305438598278
2,923,-3129.541310333487672,-3144.388464571865825,14.847154238378028
2,923,-3129.541334361852023,-3144.080466467174119,14.539132105321871
2,923,-3129.541359124838436,-3143.836456538995662,14.295097414157429
2,923,-3129.541376959436093,-3143.622747766848079,14.081370807411909
2,923,-3129.541383422586932,-3143.415794421153350,13.874410998566383
2,923,-3129.541379077478268,-3143.208844025146391,13.667464947668254
2,923,-3129.541368564684035,-3143.011293303199182,13.469924738515338
2,923,-3129.541358032631251,-3142.841710743685326,13.300352711054243
2,923,-3129.541351651941113,-3142.718693704324323,13.177342052383020
2,923,-3129.541349694296969,-3142.654700471877277,13.113350777580113
2,923,-3129.541350226292707,-3142.655241330421632,13.113891104128818
2,923,-3129.541351712278356,-3142.721360479056329,13.180008766778187
2,923,-3129.541354239478551,-3142.851609003583690,13.310254764104990
2,923,-3129.541358128453794,-3143.042111151967219,13.500753023513276
2,923,-3129.541363201718468,-3143.286149523897620,13.744786322178939
2,923,-3129.541369398388269,-3143.574388942557562,14.033019544169495
2,923,-3129.541377295859547,-3143.895032768574310,14.353655472714969
2,923,-3129.541387450212369,-3144.233215501150880,14.691828050938376
2,923,-3129.541399165076655,-3144.570475063723279,15.029075898646656
2,923,-3129.541410485042434,-3144.885747342201284,15.344336857158995
2,923,-3129.541418557565521,-3145.158445151553678,15.617026593988191
2,923,-3129.541420361244491,-3145.372991358531181,15.831570997286462
2,923,-3129.541414221058403,-3145.523377834047551,15.981963612989087
2,923,-3129.541400159846035,-3145.616023803307144,16.074623643460985
2,923,-3129.541380689041944,-3145.669545598850618,16.128164909808532
2,923,-3129.541360074220847,-3145.710961675002181,16.169601600781455
2,923,-3129.541343620400767,-3145.768941820083455,16.227598199682721
2,923,-3129.541336044547279,-3145.865601733549738,16.324265689002658
2,923,-3129.541340268548538,-3146.009022324537455,16.467682055989052
2,923,-3129.541355696287155,-3146.189034105723294,16.647678409436125
2,923,-3129.541377890077001,-3146.378411948167013,16.837034058089859
2,923,-3129.541399328720672,-3146.540098334782215,16.998699006061571
2,923,-3129.541412207033773,-3146.638754856826836,17.097342649793120
2,923,-3129.541411286180846,-3146.652825168393065,17.111413882212375
2,923,-3129.541396128306133,-3146.582480499647318,17.041084371341185
2,923,-3129.541371785657248,-3146.449957229092433,16.908585443435413
2,923,-3129.541346568970312,-3146.291739031573343,16.750392462602939
2,923,-3129.541328798877657,-3146.145603886094705,16.604275087217182
2,923,-3129.541323155598548,-3146.037859063326323,16.496535907727690
2,923,-3129.541329576217777,-3145.975762353654773,16.434432777436847
2,923,-3129.541343859302287,-3145.947393443530473,16.406049584228398
2,923,-3129.541360300801898,-3145.927745440237231,16.386385139435191
2,923,-3129.541373995629328,-3145.887458945531307,16.346084949901972
2,923,-3129.541382222811535,-3145.800512722309577,16.259130499498006
2,923,-3129.541383937407772,-3145.648952287868724,16.107568350460866
2,923,-3129.541379166187653,-3145.424836964823044,15.883457798635382
2,923,-3129.541368503712420,-3145.130478536835653,15.589110033123124
2,923,-3129.541353461038398,-3144.777500991507168,15.236147530468589
2,923,-3129.541336683043028,-3144.384420303878414,14.843083620835278
2,923,-3129.541321301478547,-3143.972601508483422,14.431280207004708
2,923,-3129.541309555706448,-3143.561608142445948,14.020298586739672
2,923,-3129.541301783874133,-3143.165872832413697,13.624571048539373
2,923,-3129.541296613024315,-3142.794167698265937,13.252871085241457
2,923,-3129.541291862458820,-3142.451740731373775,12.910448868914973
2,923,-3129.541286089428922,-3142.143473106001693,12.602187016572792
2,923,-3129.541279334642240,-3141.876059443793110,12.334780109150776
2,923,-3129.541272949038103,-3141.658061640672713,12.116788691634502
2,923,-3129.541268681991369,-3141.497999324536522,11.956730642545036
2,923,-3129.541268003624282,-3141.401600396034155,11.860332392409934
2,923,-3129.541271693073213,-3141.369480099665452,11.828208406592406
2,923,-3129.541279827715243,-3141.395919651994518,11.854639824279218
2,923,-3129.541292225309007,-3141.468659444147306,11.927367218838146
2,923,-3129.541307948033591,-3141.569401956571710,12.028094008538140
2,923,-3129.541325374942517,-3141.675183559011657,12.133858184069041
2,923,-3129.541341444694808,-3141.761276200193606,12.219934755498731
2,923,-3129.541352091933277,-3141.806037206114979,12.264685114181482
2,923,-3129.541353595319833,-3141.797018858471347,12.255665263151423
2,923,-3129.541344225528974,-3141.736393424321250,12.195049198792073
2,923,-3129.541325564570798,-3141.643216627582660,12.101891063011831
2,923,-3129.541302651046408,-3141.550671741134920,12.009369090088601
2,923,-3129.541282730877356,-3141.498091300449687,11.956808569572498
2,923,-3129.541272862707956,-3141.519693923793966,11.978421061086095
